Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-08-25,FAST,FASTENAL COMPANY,Industrials,Industrials,-14.6,75.6,90.2
2026-08-25,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,64.7,88.1,23.4
2026-08-25,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,31.5,63.3,31.8
2026-08-25,FDX,FEDEX ,Industrials,Industrials,56.7,64.5,7.8
2026-08-25,FE,FIRSTENERGY CORP.,Utilities,Utilities,-56.4,5.4,61.8
2026-08-25,FERG,FERGUSON ENTERPRISES INC.,Industrials,Industrials,-17.2,44.2,61.4
2026-08-25,FFIV,"F5, INC.",Information Technology,Information Technology,-44.5,15.3,59.8
2026-08-25,FICO,FAIR ISAAC ,Information Technology,Information Technology,-13.4,28.8,42.2
2026-08-25,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,13.0,30.0,17.0
2026-08-25,FISV,"FISERV, INC.",Financials,Financials,27.2,55.8,28.6
2026-08-25,FITB,FIFTH THIRD BANCORP,Financials,Financials,-78.5,10.1,88.6
2026-08-25,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,-24.3,16.7,41.0
2026-08-25,FLEX,FLEX LTD.,Information Technology,Information Technology,-22.2,25.2,47.4
2026-08-25,FOXA,FOX ,Communication Services,Communication Services,84.8,95.4,10.6
2026-08-25,FRO,FRONTLINE PLC,,MR Discretion,48.6,78.0,29.4
2026-08-25,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-64.4,1.4,65.8
2026-08-25,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,46.8,48.6,1.8
2026-08-25,FTI,TECHNIPFMC PLC,,MR Discretion,18.5,37.9,19.4
2026-08-25,FTNT,"FORTINET, INC.",Information Technology,Information Technology,-14.0,51.4,65.4
2026-08-25,FTV,FORTIVE ,Industrials,Industrials,-64.8,3.4,68.2
2026-08-25,FVX,5 YR TSY YLD NDX,Yields,Yields,-13.1,33.5,46.6
2026-08-25,FXA,INVESCO:AU DOLLAR,,Currencies,81.7,83.9,2.2
2026-08-25,FXB,INVESCO:GBP STERLING,,Currencies,76.4,99.8,23.4
2026-08-25,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,84.1,93.1,9.0
2026-08-25,FXE,INVESCO:EURO,,Currencies,88.0,97.8,9.8
2026-08-25,FXY,INVESCO:JAPANESE YEN,,Currencies,92.8,95.0,2.2
2026-08-25,GD,GENERAL DYNAMICS ,Industrials,Industrials,-53.2,5.8,59.0
2026-08-25,GDDY,GODADDY INC.,Information Technology,Information Technology,-0.1,58.9,59.0
2026-08-25,GDX,VANECK:GOLD MINERS,,Commodities,86.0,94.2,8.2
2026-08-25,GDXJ,VANECK:JR GOLD MINERS,,Commodities,84.5,91.9,7.4
2026-08-25,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,-67.4,21.2,88.6
2026-08-25,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,32.1,91.1,59.0
2026-08-25,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,41.8,76.0,34.2
2026-08-25,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,22.5,32.3,9.8
2026-08-25,GEV,GE VERNOVA INC.,Industrials,Industrials,-44.9,36.3,81.2
2026-08-25,GGB,GERDAU SA,,MR Discretion,-1.3,8.9,10.2
2026-08-25,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,60.5,91.1,30.6
2026-08-25,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,-4.3,87.5,91.8
2026-08-25,GL,GLOBE LIFE INC.,Financials,Financials,-83.7,16.1,99.8
2026-08-25,GLATF,GLOBAL ATOMIC ,,MR Discretion,57.4,76.8,19.4
2026-08-25,GLD,SPDR GOLD,Gold,Commodities,78.5,84.7,6.2
2026-08-25,GLW,CORNING INC.,Information Technology,Information Technology,-8.4,55.0,63.4
2026-08-25,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,5.9,16.9,11.0
2026-08-25,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,39.8,75.6,35.8
2026-08-25,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,7.5,60.5,53.0
2026-08-25,GOOGL,ALPHABET INC.,Communication Services,Communication Services,29.2,48.2,19.0
