Ticker,Date,Zscore,prem_disc
HUM,2026-07-13,-1.27,0.7256
HWM,2026-08-11,1.19,0.0496
HWM,2026-07-13,-2.9,0.3876
HYD,2026-08-11,1.37,0.5394
HYD,2026-07-13,-0.13,0.8927
HYG,2026-08-11,-0.65,0.4847
HYG,2026-07-13,-1.4,-0.1834
IBKR,2026-08-11,-0.45,-0.0906
IBKR,2026-07-13,0.95,0.0469
IBM,2026-08-11,-0.91,-0.6376
IBM,2026-07-13,-1.35,0.1633
ICE,2026-08-11,-1.19,0.075
ICE,2026-07-13,1.08,-0.0391
ICL,2026-08-11,-1.31,2.528
ICL,2026-07-13,-0.39,0.5053
IDXX,2026-08-11,-0.74,-0.0567
IDXX,2026-07-13,-0.13,0.3014
IEF,2026-08-11,-0.6,0.2558
IEF,2026-07-13,0.85,-0.0368
IEX,2026-08-11,1.18,0.1791
IEX,2026-07-13,-3.52,0.9859
IFF,2026-08-11,1.33,-0.3477
IFF,2026-07-13,0.81,0.0463
INCY,2026-08-11,0.56,-0.1205
INCY,2026-07-13,-0.04,-0.2258
INDA,2026-08-11,-1.41,0.0631
INDA,2026-07-13,0.09,-0.0389
INTC,2026-08-11,0.16,-0.1744
INTC,2026-07-13,0.02,-0.0799
INTU,2026-08-11,-0.35,0.2867
INTU,2026-07-13,-0.96,0.3808
INVH,2026-08-11,-1.44,0.2129
INVH,2026-07-13,0.35,0.6955
IP,2026-08-11,0.88,-0.2461
IP,2026-07-13,-2.49,0.1303
IQV,2026-08-11,0.94,-0.4703
IQV,2026-07-13,-0.77,0.0578
IR,2026-08-11,0.87,-0.2669
IR,2026-07-13,-1.77,0.227
IRM,2026-08-11,-0.59,-0.0494
IRM,2026-07-13,0.8,0.1836
ISRG,2026-08-11,0.71,-0.5628
ISRG,2026-07-13,-0.34,0.455
IT,2026-08-11,1.49,-0.5187
IT,2026-07-13,0.21,0.1159
ITW,2026-08-11,0.73,-0.3546
ITW,2026-07-13,0.38,0.168
IVZ,2026-08-11,-0.49,-0.1305
IVZ,2026-07-13,1.09,0.0164
IWD,2026-08-11,-1.02,0.4289
IWD,2026-07-13,-1.88,-0.1634
IWF,2026-08-11,0.49,-0.2798
IWF,2026-07-13,0.47,-0.0979
IWM,2026-08-11,1.04,0.1527
IWM,2026-07-13,-1.8,0.1693
