Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-07-16,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,52.0,55.0,3.0
2026-07-16,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,-26.0,7.0,33.0
2026-07-16,GOOGL,ALPHABET INC.,Communication Services,Communication Services,71.0,71.0,0.0
2026-07-16,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,Consumer Discretionary,-42.0,-69.0,-27.0
2026-07-16,GPN,GLOBAL PAYMENTS INC.,Financials,Financials,-59.0,-53.0,6.0
2026-07-16,GREK,GLBL X MSCI GREECE,,Foreign,-8.0,54.0,62.0
2026-07-16,GRMN,GARMIN LTD,Consumer Discretionary,Consumer Discretionary,-52.0,-57.0,-5.0
2026-07-16,GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,Financials,25.0,67.0,42.0
2026-07-16,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,42.0,-12.0,-54.0
2026-07-16,HAL,HALLIBURTON COMPANY,Energy,Energy,13.0,48.0,35.0
2026-07-16,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,-57.0,3.0,60.0
2026-07-16,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,-24.0,-57.0,-33.0
2026-07-16,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,-44.0,-33.0,11.0
2026-07-16,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,-11.0,-28.0,-17.0
2026-07-16,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,12.0,-57.0,-69.0
2026-07-16,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,-23.0,17.0,40.0
2026-07-16,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,42.0,36.0,-6.0
2026-07-16,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,1.0,7.0,6.0
2026-07-16,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,-24.0,26.0,50.0
2026-07-16,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,-1.0,-8.0,-7.0
2026-07-16,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,43.0,63.0,20.0
2026-07-16,HPQ,HP INC.,Information Technology,Information Technology,-3.0,-5.0,-2.0
2026-07-16,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,12.0,-39.0,-51.0
2026-07-16,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,11.0,-14.0,-25.0
2026-07-16,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,9.0,28.0,19.0
2026-07-16,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,-58.0,8.0,66.0
2026-07-16,HUBB,HUBBELL INC.,Industrials,Industrials,99.0,42.0,-57.0
2026-07-16,HUM,HUMANA INC.,Health Care,Health Care,36.0,16.0,-20.0
2026-07-16,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,34.0,33.0,-1.0
2026-07-16,HYD,VANECK:HIGH YIELD MUNI,,Bonds,56.0,36.0,-20.0
2026-07-16,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,-17.0,-27.0,-10.0
2026-07-16,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,15.0,62.0,47.0
2026-07-16,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,-47.0,-1.0,46.0
2026-07-16,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,-13.0,-2.0,11.0
