Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-06-29,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,-49.0,15.5,64.5
2026-06-29,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,58.3,97.8,39.5
2026-06-29,GL,GLOBE LIFE INC.,Financials,Financials,63.7,99.8,36.1
2026-06-29,GLATF,GLOBAL ATOMIC ,,MR Discretion,-17.9,23.2,41.1
2026-06-29,GLD,SPDR GOLD,Gold,Commodities,-16.2,4.2,20.4
2026-06-29,GLW,CORNING INC.,Information Technology,Information Technology,37.3,62.1,24.8
2026-06-29,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,-52.8,10.5,63.3
2026-06-29,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,6.3,33.1,26.8
2026-06-29,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,-9.3,41.7,51.0
2026-06-29,GOOGL,ALPHABET INC.,Communication Services,Communication Services,-3.5,17.3,20.8
2026-06-29,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,Consumer Discretionary,71.8,97.8,26.0
2026-06-29,GPN,GLOBAL PAYMENTS INC.,Financials,Financials,-48.8,34.7,83.5
2026-06-29,GREK,GLBL X MSCI GREECE,,Foreign,-13.3,40.1,53.4
2026-06-29,GRMN,GARMIN LTD,Consumer Discretionary,Consumer Discretionary,20.2,35.9,15.7
2026-06-29,GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,Financials,-58.8,22.4,81.2
2026-06-29,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,11.9,89.5,77.6
2026-06-29,HAL,HALLIBURTON COMPANY,Energy,Energy,2.4,3.0,0.6
2026-06-29,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,15.5,26.8,11.3
2026-06-29,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,39.7,73.6,33.9
2026-06-29,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,58.3,60.1,1.8
2026-06-29,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,50.0,89.9,39.9
2026-06-29,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,71.0,76.0,5.0
2026-06-29,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,7.5,13.3,5.8
2026-06-29,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,4.8,43.7,38.9
2026-06-29,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,9.5,10.5,1.0
2026-06-29,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,-50.8,39.9,90.7
2026-06-29,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,-23.4,60.1,83.5
2026-06-29,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,-63.1,34.7,97.8
2026-06-29,HPQ,HP INC.,Information Technology,Information Technology,-78.5,16.9,95.4
2026-06-29,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,17.1,99.8,82.7
2026-06-29,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,29.3,94.2,64.9
2026-06-29,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,-0.8,82.7,83.5
2026-06-29,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,-36.7,25.6,62.3
2026-06-29,HUBB,HUBBELL INC.,Industrials,Industrials,51.2,64.9,13.7
2026-06-29,HUM,HUMANA INC.,Health Care,Health Care,0.8,86.7,85.9
2026-06-29,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,-2.0,49.0,51.0
2026-06-29,HYD,VANECK:HIGH YIELD MUNI,,Bonds,-3.6,64.5,68.1
2026-06-29,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,-8.0,33.1,41.1
2026-06-29,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,-27.0,38.7,65.7
