Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-05-19,IT,"GARTNER, INC.",Information Technology,Information Technology,-19.0,-29.0,-10.0
2026-05-19,ITW,ILLINOIS TOOL WORKS INC.,Industrials,Industrials,5.0,4.0,-1.0
2026-05-19,IVZ,INVESCO LTD.,Financials,Financials,25.0,5.0,-20.0
2026-05-19,IWD,ISHARES:RUSS 1000 VL ETF,,Sector & Style ETFs,-10.0,-20.0,-10.0
2026-05-19,IWF,ISHARES:RUSS 1000 GR ETF,,Sector & Style ETFs,33.0,-3.0,-36.0
2026-05-19,IWM,ISHARES:RUSS 2000 ETF,,Sector & Style ETFs,-36.0,-8.0,28.0
2026-05-19,J,JACOBS SOLUTIONS INC.,Industrials,Industrials,-18.0,0.0,18.0
2026-05-19,JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,Industrials,54.0,31.0,-23.0
2026-05-19,JBL,JABIL INC.,Information Technology,Information Technology,9.0,14.0,5.0
2026-05-19,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Industrials,-7.0,9.0,16.0
2026-05-19,JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,Financials,-19.0,18.0,37.0
2026-05-19,JNJ,JOHNSON & JOHNSON,Health Care,Health Care,-23.0,30.0,53.0
2026-05-19,JNK,SPDR BBG HIGH YIELD BD,,Bonds,30.0,9.0,-21.0
2026-05-19,JPM,JPMORGAN CHASE & CO.,Financials,Financials,-73.0,-33.0,40.0
2026-05-19,KDP,KEURIG DR PEPPER INC.,Consumer Staples,Consumer Staples,21.0,-62.0,-83.0
2026-05-19,KEY,KEYCORP,Financials,Financials,-59.0,-12.0,47.0
2026-05-19,KEYS,"KEYSIGHT TECHNOLOGIES, INC.",Information Technology,Information Technology,9.0,25.0,16.0
2026-05-19,KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,Consumer Staples,-19.0,-43.0,-24.0
2026-05-19,KIM,KIMCO REALTY .,Real Estate,Real Estate,15.0,47.0,32.0
2026-05-19,KKR,KKR & CO. INC.,Financials,Financials,-39.0,-17.0,22.0
2026-05-19,KLAC,KLA ,Information Technology,Information Technology,1.0,15.0,14.0
2026-05-19,KMB,KIMBERLY-CLARK ,Consumer Staples,Consumer Staples,-10.0,-62.0,-52.0
2026-05-19,KMI,"KINDER MORGAN, INC.",Energy,Energy,7.0,-41.0,-48.0
2026-05-19,KO,THE COCA-COLA COMPANY,Consumer Staples,Consumer Staples,-3.0,-23.0,-20.0
2026-05-19,KR,THE KROGER CO.,Consumer Staples,Consumer Staples,-15.0,-12.0,3.0
2026-05-19,KVUE,KENVUE INC.,Consumer Staples,Consumer Staples,0.0,-47.0,-47.0
2026-05-19,L,LOEWS ,Financials,Financials,0.0,0.0,0.0
2026-05-19,LDOS,"LEIDOS HOLDINGS, INC.",Industrials,Industrials,0.0,0.0,0.0
2026-05-19,LEN,LENNAR ,Consumer Discretionary,Consumer Discretionary,-7.0,-17.0,-10.0
2026-05-19,LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,Health Care,38.0,42.0,4.0
2026-05-19,LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,Industrials,2.0,36.0,34.0
2026-05-19,LII,LENNOX INTERNATIONAL INC.,Industrials,Industrials,33.0,7.0,-26.0
2026-05-19,LIN,LINDE PUBLIC LIMITED COMPANY,Materials,Materials,21.0,3.0,-18.0
2026-05-19,LITE,LUMENTUM HOLDINGS INC.,Information Technology,Information Technology,-47.0,-10.0,37.0
2026-05-19,LLY,ELI LILLY AND COMPANY,Health Care,Health Care,-5.0,-41.0,-36.0
2026-05-19,LMT,LOCKHEED MARTIN ,Industrials,Industrials,35.0,47.0,12.0
2026-05-19,LNT,ALLIANT ENERGY ,Utilities,Utilities,-5.0,30.0,35.0
2026-05-19,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-29.0,27.0,56.0
2026-05-19,LQD,ISHARES:IBOXX $IG CORP,Bonds,Bonds,15.0,24.0,9.0
2026-05-19,LRCX,LAM RESEARCH ,Information Technology,Information Technology,-18.0,16.0,34.0
2026-05-19,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,Consumer Discretionary,12.0,1.0,-11.0
