Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-09-01,SNDK,70.7,270.7,569.5,-28.1
2025-10-01,SNDK,97.8,270.7,569.5,-28.1
2025-11-01,SNDK,101.8,270.7,569.5,-28.1
2025-12-01,SNDK,73.8,270.7,569.5,-28.1
2026-01-01,SNDK,432.7,270.7,569.5,-28.1
2026-02-01,SNDK,184.9,270.7,569.5,-28.1
2026-03-01,SNDK,260.6,270.7,569.5,-28.1
2026-04-01,SNDK,474.0,270.7,569.5,-28.1
2026-05-01,SNDK,660.8,270.7,569.5,-28.1
2026-06-01,SNDK,840.0,270.7,569.5,-28.1
2026-07-01,SNDK,908.0,270.7,569.5,-28.1
2025-05-01,SNPS,83.4,89.1,135.5,42.7
2025-06-01,SNPS,69.2,89.1,135.5,42.7
2025-07-01,SNPS,145.7,89.1,135.5,42.7
2025-08-01,SNPS,43.6,89.1,135.5,42.7
2025-09-01,SNPS,235.0,89.1,135.5,42.7
2025-10-01,SNPS,63.7,89.1,135.5,42.7
2025-11-01,SNPS,76.3,89.1,135.5,42.7
2025-12-01,SNPS,55.4,89.1,135.5,42.7
2026-01-01,SNPS,72.0,89.1,135.5,42.7
2026-02-01,SNPS,66.7,89.1,135.5,42.7
2026-03-01,SNPS,68.2,89.1,135.5,42.7
2026-04-01,SNPS,115.7,89.1,135.5,42.7
2026-05-01,SNPS,70.1,89.1,135.5,42.7
2026-06-01,SNPS,70.2,89.1,135.5,42.7
2026-07-01,SNPS,98.5,89.1,135.5,42.7
2025-05-01,SO,9.5,6.6,8.4,4.9
2025-06-01,SO,4.5,6.6,8.4,4.9
2025-07-01,SO,6.1,6.6,8.4,4.9
2025-08-01,SO,4.4,6.6,8.4,4.9
2025-09-01,SO,4.7,6.6,8.4,4.9
2025-10-01,SO,8.0,6.6,8.4,4.9
2025-11-01,SO,6.9,6.6,8.4,4.9
2025-12-01,SO,7.0,6.6,8.4,4.9
2026-01-01,SO,4.3,6.6,8.4,4.9
2026-02-01,SO,10.1,6.6,8.4,4.9
2026-03-01,SO,6.4,6.6,8.4,4.9
2026-04-01,SO,6.9,6.6,8.4,4.9
2026-05-01,SO,6.1,6.6,8.4,4.9
2026-06-01,SO,8.5,6.6,8.4,4.9
2026-07-01,SO,6.1,6.6,8.4,4.9
2025-05-01,SOLV,11.1,9.5,13.1,5.9
2025-06-01,SOLV,4.5,9.5,13.1,5.9
2025-07-01,SOLV,7.7,9.5,13.1,5.9
2025-08-01,SOLV,4.7,9.5,13.1,5.9
2025-09-01,SOLV,6.2,9.5,13.1,5.9
2025-10-01,SOLV,7.5,9.5,13.1,5.9
2025-11-01,SOLV,20.7,9.5,13.1,5.9
2025-12-01,SOLV,9.1,9.5,13.1,5.9
2026-01-01,SOLV,10.8,9.5,13.1,5.9
2026-02-01,SOLV,10.5,9.5,13.1,5.9
2026-03-01,SOLV,11.6,9.5,13.1,5.9
2026-04-01,SOLV,9.0,9.5,13.1,5.9
2026-05-01,SOLV,11.6,9.5,13.1,5.9
2026-06-01,SOLV,10.4,9.5,13.1,5.9
2026-07-01,SOLV,8.6,9.5,13.1,5.9
2025-05-01,SOYB,0.9,1.3,1.7,0.9
2025-06-01,SOYB,1.3,1.3,1.7,0.9
2025-07-01,SOYB,1.2,1.3,1.7,0.9
2025-08-01,SOYB,1.4,1.3,1.7,0.9
2025-09-01,SOYB,1.0,1.3,1.7,0.9
