Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-05-26,TYX,30 Y TSY YLD NDX,Yields,Yields,-27.0
2026-05-26,UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,Industrials,-17.0
2026-05-26,UBER,"UBER TECHNOLOGIES, INC.",Industrials,Industrials,-34.0
2026-05-26,UDR,"UDR, INC.",Real Estate,Real Estate,-9.0
2026-05-26,UHS,"UNIVERSAL HEALTH SERVICES, INC.",Health Care,Health Care,10.0
2026-05-26,ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,Consumer Discretionary,47.0
2026-05-26,UNG,UNITED STATES NAT GAS,Energy Complex,Commodities,-17.0
2026-05-26,UNH,UNITEDHEALTH GROUP INC.,Health Care,Health Care,-20.0
2026-05-26,UNP,UNION PACIFIC ,Industrials,Industrials,24.0
2026-05-26,UPS,"UNITED PARCEL SERVICE, INC.",Industrials,Industrials,27.0
2026-05-26,URA,GLBL X URANIUM ETF,,Commodities,27.0
2026-05-26,URI,"UNITED RENTALS, INC.",Industrials,Industrials,6.0
2026-05-26,URNM,SPROTT URANIUM MINERS,,MR Discretion,47.0
2026-05-26,USB,U.S. BANCORP,Financials,Financials,12.0
2026-05-26,USO,UNITED STATES OIL FUND,Energy Complex,Commodities,16.0
2026-05-26,UUP,INVESCO DB USD IDX BL,,Currencies,-20.0
2026-05-26,V,VISA INC.,Financials,Financials,-20.0
2026-05-26,VAL,VALARIS LIMITED,,MR Discretion,10.0
2026-05-26,VEEV,VEEVA SYSTEMS INC.,Health Care,Health Care,-26.0
2026-05-26,VICI,VICI PROPERTIES INC.,Real Estate,Real Estate,-3.0
2026-05-26,VIX,CBOE MKT VOLATILITY IDX,,Volatility,-56.0
2026-05-26,VLO,VALERO ENERGY ,Energy,Energy,45.0
2026-05-26,VLTO,VERALTO ,Industrials,Industrials,-14.0
2026-05-26,VMC,VULCAN MATERIALS COMPANY,Materials,Materials,21.0
2026-05-26,VNM,VANECK:VIETNAM,,Foreign,22.0
2026-05-26,VRSK,"VERISK ANALYTICS, INC.",Industrials,Industrials,-58.0
2026-05-26,VRSN,"VERISIGN, INC.",Information Technology,Information Technology,-22.0
2026-05-26,VRT,VERTIV HOLDINGS CO,Industrials,Industrials,70.0
2026-05-26,VRTX,VERTEX PHARMACEUTICALS INC.,Health Care,Health Care,38.0
2026-05-26,VST,VISTRA CORP.,Utilities,Utilities,-44.0
2026-05-26,VTR,"VENTAS, INC.",Real Estate,Real Estate,8.0
2026-05-26,VTRS,VIATRIS INC.,Health Care,Health Care,3.0
2026-05-26,VXN,CBOE NASDAQ MKT VOL NDX,,Volatility,-1.0
2026-05-26,VZ,VERIZON COMMUNICATIONS INC.,Communication Services,Communication Services,-36.0
2026-05-26,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES ,Industrials,Industrials,16.0
2026-05-26,WAT,WATERS ,Health Care,Health Care,-37.0
2026-05-26,WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,Communication Services,37.0
2026-05-26,WDAY,"WORKDAY, INC.",Information Technology,Information Technology,-53.0
2026-05-26,WDC,WESTERN DIGITAL ,Information Technology,Information Technology,58.0
2026-05-26,WEAT,TEUCRIUM:WHEAT,,Commodities,3.0
2026-05-26,WEC,"WEC ENERGY GROUP, INC.",Utilities,Utilities,11.0
2026-05-26,WELL,WELLTOWER INC.,Real Estate,Real Estate,22.0
2026-05-26,WFC,WELLS FARGO & COMPANY,Financials,Financials,11.0
2026-05-26,WM,"WASTE MANAGEMENT, INC.",Industrials,Industrials,17.0
2026-05-26,WMB,"THE WILLIAMS COMPANIES, INC.",Energy,Energy,-43.0
2026-05-26,WMT,WALMART INC.,Consumer Staples,Consumer Staples,21.0
2026-05-26,WRB,W. R. BERKLEY ,Financials,Financials,-21.0
2026-05-26,WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,Consumer Discretionary,-34.0
2026-05-26,WST,"WEST PHARMACEUTICAL SERVICES, INC.",Health Care,Health Care,-2.0
2026-05-26,WTW,WILLIS TOWERS WATSON,Financials,Financials,38.0
2026-05-26,WY,WEYERHAEUSER COMPANY,Real Estate,Real Estate,75.0
2026-05-26,WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,Consumer Discretionary,65.0
2026-05-26,XEL,XCEL ENERGY INC.,Utilities,Utilities,14.0
2026-05-26,XES,SPDR S&P OIL&GAS E&S,,MR Discretion,20.0
2026-05-26,XLB,SEL SECTOR:MATRLS SPDR,,Sector & Style ETFs,30.0
2026-05-26,XLC,SEL SECTOR:COMM SVC SPDR,,Sector & Style ETFs,-5.0
2026-05-26,XLE,SEL SECTOR:ENERGY SPDR,,Sector & Style ETFs,24.0
2026-05-26,XLF,SEL SECTOR:FINL S SPDR,,Sector & Style ETFs,7.0
2026-05-26,XLI,SEL SECTOR:INDUST SPDR,,Sector & Style ETFs,6.0
2026-05-26,XLK,SEL SECTOR:TECH SPDR,,Sector & Style ETFs,-14.0
2026-05-26,XLP,SEL SECTOR:C STP SPDR,,Sector & Style ETFs,-4.0
2026-05-26,XLRE,SEL SECTOR:RL EST SPDR,,Sector & Style ETFs,-31.0
2026-05-26,XLU,SEL SECTOR:UTIL SPDR,,Sector & Style ETFs,26.0
2026-05-26,XLV,SEL SECTOR:H CARE SPDR,,Sector & Style ETFs,-24.0
2026-05-26,XLY,SEL SECTOR:C DSC SPDR,,Sector & Style ETFs,6.0
2026-05-26,XOM,EXXON MOBIL ,Energy,Energy,-16.0
2026-05-26,XOP,SPDR S&P OIL&GAS EXP,,MR Discretion,1.0
2026-05-26,XYL,XYLEM INC.,Industrials,Industrials,-33.0
2026-05-26,XYZ,"BLOCK, INC.",Financials,Financials,-17.0
2026-05-26,YUM,"YUM! BRANDS, INC.",Consumer Discretionary,Consumer Discretionary,8.0
2026-05-26,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Health Care,Health Care,8.0
2026-05-26,ZBRA,ZEBRA TECHNOLOGIES ,Information Technology,Information Technology,-20.0
2026-05-26,ZTS,ZOETIS INC.,Health Care,Health Care,-0.0
