Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-05-28,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,Consumer Discretionary,-56.0,-20.0,36.0
2026-05-28,MAS,MASCO ,Industrials,Industrials,-73.0,-20.0,53.0
2026-05-28,MCD,MCDONALD'S ,Consumer Discretionary,Consumer Discretionary,14.0,37.0,23.0
2026-05-28,MCHI,ISHARES:MSCI CHINA,,Foreign,-13.0,2.0,15.0
2026-05-28,MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,Information Technology,-57.0,-9.0,48.0
2026-05-28,MCK,MCKESSON ,Health Care,Health Care,55.0,37.0,-18.0
2026-05-28,MCO,MOODY'S ,Financials,Financials,-68.0,-32.0,36.0
2026-05-28,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,Consumer Staples,-81.0,-36.0,45.0
2026-05-28,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,Health Care,64.0,64.0,0.0
2026-05-28,MDY,SPDR S&P MIDCAP 400 ETF,,Sector & Style ETFs,-46.0,-28.0,18.0
2026-05-28,MET,"METLIFE, INC.",Financials,Financials,-32.0,-20.0,12.0
2026-05-28,META,"META PLATFORMS, INC.",Communication Services,Communication Services,-37.0,-37.0,0.0
2026-05-28,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Consumer Discretionary,19.0,-12.0,-31.0
2026-05-28,MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,Consumer Staples,36.0,36.0,0.0
2026-05-28,MLM,"MARTIN MARIETTA MATERIALS, INC.",Materials,Materials,-37.0,-13.0,24.0
2026-05-28,MMM,3M COMPANY,Industrials,Industrials,-113.0,-52.0,61.0
2026-05-28,MNST,MONSTER BEVERAGE ,Consumer Staples,Consumer Staples,-33.0,-31.0,2.0
2026-05-28,MO,"ALTRIA GROUP, INC.",Consumer Staples,Consumer Staples,-74.0,10.0,84.0
2026-05-28,MOS,THE MOSAIC COMPANY,Materials,Materials,-17.0,5.0,22.0
2026-05-28,MP,MP MATERIALS CORP,,MR Discretion,47.0,34.0,-13.0
2026-05-28,MPC,MARATHON PETROLEUM ,Energy,Energy,57.0,21.0,-36.0
2026-05-28,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",Information Technology,Information Technology,31.0,37.0,6.0
2026-05-28,MRK,"MERCK & CO., INC.",Health Care,Health Care,11.0,-12.0,-23.0
2026-05-28,MRNA,"MODERNA, INC.",Health Care,Health Care,-18.0,6.0,24.0
2026-05-28,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Financials,Financials,-63.0,-16.0,47.0
2026-05-28,MS,MORGAN STANLEY,Financials,Financials,-53.0,-13.0,40.0
